board_id,sensor,voltage,solution,concentration (mM),pH
01_01_0001,U1,0,DI Water,100.0,3
01_01_0001,U2,0,DI Water,100.0,3
01_01_0001,U3,0,DI Water,100.0,3
01_01_0001,U4,0,DI Water,100.0,3
01_01_0002,U1,0,DI Water,100.0,3
01_01_0002,U2,0,DI Water,100.0,3
01_01_0002,U3,0,DI Water,100.0,3
01_01_0002,U4,0,DI Water,100.0,3
01_01_0001,U1,0,DI Water,0.0,3
01_01_0001,U2,0,DI Water,0.0,3
01_01_0001,U3,0,DI Water,0.0,3
01_01_0001,U4,0,DI Water,0.0,3
01_01_0003,U1,0,DI Water,0.0,7
01_01_0003,U2,0,DI Water,0.0,7
01_01_0003,U3,0,DI Water,0.0,7
01_01_0003,U4,0,DI Water,0.0,7
02_03_0097,U1,0,DI Water,0.0,7
02_03_0097,U2,0,DI Water,0.0,7
02_03_0097,U3,0,DI Water,0.0,7
02_03_0097,U4,0,DI Water,0.0,7
03_07_0086,U1,0,DI Water,0.0,7
03_07_0086,U2,0,DI Water,0.0,7
03_07_0086,U3,0,DI Water,0.0,7
03_07_0086,U4,0,DI Water,0.0,7
03_01_0111,U1,0,DI Water,0.0,7
03_01_0111,U2,0,DI Water,0.0,7
03_01_0111,U3,0,DI Water,0.0,7
03_01_0111,U4,0,DI Water,0.0,7
03_04_0181,U1,0,DI Water,0.0,7
03_04_0181,U2,0,DI Water,0.0,7
03_04_0181,U3,0,DI Water,0.0,7
03_04_0181,U4,0,DI Water,0.0,7
03_07_0191,U1,0,DI Water,0.0,7
03_07_0191,U2,0,DI Water,0.0,7
03_07_0191,U3,0,DI Water,0.0,7
03_07_0191,U4,0,DI Water,0.0,7
03_10_0096,U1,0,DI Water,0.0,7
03_10_0096,U2,0,DI Water,0.0,7
03_10_0096,U3,0,DI Water,0.0,7
03_10_0096,U4,0,DI Water,0.0,7
01_01_0004,U1,0,DI Water,0.0,7
01_01_0004,U2,0,DI Water,0.0,7
01_01_0004,U3,0,DI Water,0.0,7
01_01_0004,U4,0,DI Water,0.0,7
03_01_0141,U1,0,DI Water,0.0,7
03_01_0141,U2,0,DI Water,0.0,7
03_01_0141,U3,0,DI Water,0.0,7
03_01_0141,U4,0,DI Water,0.0,7
03_07_0196,U1,0,DI Water,0.0,7
03_07_0196,U2,0,DI Water,0.0,7
03_07_0196,U3,0,DI Water,0.0,7
03_07_0196,U4,0,DI Water,0.0,7
